Model,Threshold,delta,power (W),Hours in Use
Model 2,15,1.8,0.5,6.0285
Model 2,10,2,0.2,28.52513889
Model 2,10,2,0.3,19.05363889
Model 2,10,2,0.4,14.31783333
Model 2,10,2,0.5,11.47527778
Model 2,11,2,0.2,25.85516667
Model 2,11,2,0.3,17.27302778
Model 2,11,2,0.4,12.98263889
Model 2,11,2,0.5,10.40672222
Model 2,12,2,0.2,23.16444444
Model 2,12,2,0.3,15.47783333
Model 2,12,2,0.4,11.63608333
Model 2,12,2,0.5,9.328583333
Model 2,13,2,0.2,20.47108333
Model 2,13,2,0.3,13.68016667
Model 2,13,2,0.4,10.28658333
Model 2,13,2,0.5,8.248083333
Model 2,14,2,0.2,17.87636111
Model 2,14,2,0.3,11.949
Model 2,14,2,0.4,8.986972222
Model 2,14,2,0.5,7.207888889
Model 2,15,2,0.2,15.36580556
Model 2,15,2,0.3,10.27372222
Model 2,15,2,0.4,7.728222222
Model 2,15,2,0.5,6.198833333
Model 2,10,2.2,0.2,29.04911111
Model 2,10,2.2,0.3,19.40188889
Model 2,10,2.2,0.4,14.57961111
Model 2,10,2.2,0.5,11.6855
Model 2,11,2.2,0.2,26.37069444
Model 2,11,2.2,0.3,17.61577778
Model 2,11,2.2,0.4,13.23975
Model 2,11,2.2,0.5,10.61308333
Model 2,12,2.2,0.2,23.66713889
Model 2,12,2.2,0.3,15.81211111
Model 2,12,2.2,0.4,11.88661111
Model 2,12,2.2,0.5,9.529194444
Model 2,13,2.2,0.2,20.95055556
Model 2,13,2.2,0.3,14.00016667
Model 2,13,2.2,0.4,10.52533333
Model 2,13,2.2,0.5,8.441055556
Model 2,14,2.2,0.2,18.32938889
Model 2,14,2.2,0.3,12.25152778
Model 2,14,2.2,0.4,9.212194444
Model 2,14,2.2,0.5,7.389944444
Model 2,15,2.2,0.2,15.78894444
Model 2,15,2.2,0.3,10.55527778
Model 2,15,2.2,0.4,7.938111111
Model 2,15,2.2,0.5,6.368277778
Model 2,10,2.4,0.2,29.57325
Model 2,10,2.4,0.3,19.75236111
Model 2,10,2.4,0.4,14.84158333
Model 2,10,2.4,0.5,11.89513889
Model 2,11,2.4,0.2,26.88772222
Model 2,11,2.4,0.3,17.9625
Model 2,11,2.4,0.4,13.498
Model 2,11,2.4,0.5,10.81972222
Model 2,12,2.4,0.2,24.17
Model 2,12,2.4,0.3,16.1495
Model 2,12,2.4,0.4,12.13736111
Model 2,12,2.4,0.5,9.730555556
Model 2,13,2.4,0.2,21.43213889
Model 2,13,2.4,0.3,14.32227778
Model 2,13,2.4,0.4,10.76580556
Model 2,13,2.4,0.5,8.633916667
Model 2,14,2.4,0.2,18.78569444
Model 2,14,2.4,0.3,12.55622222
Model 2,14,2.4,0.4,9.439777778
Model 2,14,2.4,0.5,7.571444444
Model 2,15,2.4,0.2,16.21594444
Model 2,15,2.4,0.3,10.84058333
Model 2,15,2.4,0.4,8.151444444
Model 2,15,2.4,0.5,6.538222222
Model 2,10,2.6,0.2,30.09666667
Model 2,10,2.6,0.3,20.09938889
Model 2,10,2.6,0.4,15.10247222
Model 2,10,2.6,0.5,12.10461111
Model 2,11,2.6,0.2,27.40555556
Model 2,11,2.6,0.3,18.30561111
